link_id,source_link_id,road_no,road_class,road_name,length_km,chainage_from_km,chainage_to_km,surface,pavement_class,maintenance_station,maintenance_region,start_x_coordinate_dd,start_y_coordinate_dd,end_x_coordinate_dd,end_y_coordinate_dd,link_id_correction_status
A005_Link01,A005_Link01,A005,A,Busega - Bujuuko,32.2296294816,0.0,32.2296294816,Bituminous,Paved,Mpigi,Central,32.51390975,0.31163911,32.37043248,0.33354164,Source ID retained
A005_Link02,A005_Link01,A005,A,Busega - Bujuuko,32.2296294816,0.0,32.2296294816,Bituminous,Paved,Mpigi,Central,32.37043248,0.33354164,32.2589371,0.37690412,Resequenced to unique Road_No_LinkNN standard
A005_Link03,A005_Link02,A005,A,Bujuuko - Mityana,26.736,32.2296294816,58.9656294816,Bituminous,Paved,Mpigi,Central,32.2589371,0.37690412,32.03910088,0.40751216,Resequenced to unique Road_No_LinkNN standard
A005_Link04,A005_Link03,A005,A,Mityana - Naama - Myanzi,15.842,58.9656294816,74.8076294816,Bituminous,Paved,Mubende,Central,32.03910088,0.40751216,31.90378061,0.43556583,Resequenced to unique Road_No_LinkNN standard
A005_Link05,A005_Link04,A005,A,Myanzi - Kiganda,27.705,74.8076294816,102.512629482,Bituminous,Paved,Mubende,Central,31.90378061,0.43556583,31.66853024,0.45663587,Resequenced to unique Road_No_LinkNN standard
A005_Link06,A005_Link05,A005,A,Kiganda-Kitenga,20.351,102.512629482,122.863629482,Bituminous,Paved,Mubende,Central,31.66853024,0.45663587,31.50718676,0.50400195,Resequenced to unique Road_No_LinkNN standard
A005_Link07,A005_Link06,A005,A,Kitenga-Mubende-Lusalira,29.794,122.863629482,152.657629482,Bituminous,Paved,Mubende,Central,31.50718676,0.50400195,31.28047681,0.49786632,Resequenced to unique Road_No_LinkNN standard
A005_Link08,A005_Link07,A005,A,Lusalira - Nabingoola - Lubaale,16.3,152.657629482,168.957629482,Bituminous,Paved,Mubende,Central,31.28047681,0.49786632,31.14621558,0.49239733,Resequenced to unique Road_No_LinkNN standard
A005_Link09,A005_Link08,A005,A,Lubaale - Kyegegwa,12.0,168.957629482,180.957629482,Bituminous,Paved,Fort Portal,Western,31.14621558,0.49239733,31.04895033,0.48497849,Resequenced to unique Road_No_LinkNN standard
A005_Link10,A005_Link09,A005,A,Kyegegwa - Kakabala - Kyenjojo,52.261,180.957629482,233.218629482,Bituminous,Paved,Fort Portal,Western,31.04895033,0.48497849,30.6417331,0.61290978,Resequenced to unique Road_No_LinkNN standard
A005_Link11,A005_Link10,A005,A,Kyenjojo - Rugombe - Fortportal,49.811,233.218629482,283.029629482,Bituminous,Paved,Fort Portal,Western,30.6417331,0.61290978,30.27468306,0.6529176,Resequenced to unique Road_No_LinkNN standard
A005_Link12,A005_Link11,A005,A,FortPortal - Rwimi(bridge),44.681,283.029629482,327.710629482,Bituminous,Paved,Fort Portal,Western,30.27468306,0.6529176,30.21134346,0.37328383,Resequenced to unique Road_No_LinkNN standard
A005_Link13,A005_Link12,A005,A,Rwimi(bridge)-Hima-Mubuku,17.802,327.710629482,345.512629482,Bituminous,Paved,Kasese,Southern,30.21134346,0.37328383,30.12311223,0.26133415,Resequenced to unique Road_No_LinkNN standard
A005_Link14,A005_Link13,A005,A,Mubuku - Kasese,11.617,345.512629482,357.129629482,Bituminous,Paved,Kasese,Southern,30.12311223,0.26133415,30.08556793,0.17199559,Resequenced to unique Road_No_LinkNN standard
A005_Link15,A005_Link14,A005,A,Kasese - Kikorongo,21.956,357.129629482,379.085629482,Bituminous,Paved,Kasese,Southern,30.08556793,0.17199559,29.99889731,0.00011878,Resequenced to unique Road_No_LinkNN standard
A005_Link16,A005_Link15,A005,A,Kikorongo - Bwera - Mpondwe,38.25,379.085629482,417.335629482,Bituminous,Paved,Kasese,Southern,29.99889731,0.00011878,29.72020776,0.04122282,Resequenced to unique Road_No_LinkNN standard
A006_Link01,A006_Link01,A006,A,Kampala - Kawempe,7.675,0.0,7.675,Bituminous,Paved,Kampala,Central,32.57167942,0.34036034,32.54567572,0.40097277,Source ID retained
A006_Link02,A006_Link02,A006,A,Kawempe - Matuga,8.591,7.675,16.266,Bituminous,Paved,Kampala,Central,32.54567572,0.40097277,32.52104732,0.46588882,Source ID retained
A006_Link03,A006_Link03,A006,A,Matuga - Wobulenzi,28.92,16.266,45.186,Bituminous,Paved,Luwero,Central,32.52104732,0.46588882,32.52820666,0.71784714,Source ID retained
A006_Link04,A006_Link04,A006,A,Wobulenzi - Kasana - Luweero,15.644,45.186,60.83,Bituminous,Paved,Luwero,Central,32.52820666,0.71784714,32.48832156,0.84914136,Source ID retained
A006_Link05,A006_Link05,A006,A,Luweero - Nakasongola,54.829,60.83,115.659,Bituminous,Paved,Luwero,Central,32.48832156,0.84914136,32.42216022,1.32692645,Source ID retained
A006_Link06,A006_Link06,A006,A,Nakasongola - Kafu,52.216,115.659,167.875,Bituminous,Paved,Luwero,Central,32.42216022,1.32692645,32.04145866,1.54512622,Source ID retained
A006_Link07,A006_Link07,A006,A,Kafu - Kigumba,29.676,167.875,197.551,Bituminous,Paved,Masindi,Western,32.04145866,1.54512622,32.01162029,1.80970221,Source ID retained
A006_Link08,A006_Link08,A006,A,Kigumba - Karuma,56.735,197.551,254.286,Bituminous,Paved,Masindi,Western,32.01162029,1.80970221,32.23982928,2.24252948,Source ID retained
A006_Link09,A006_Link09,A006,A,Karuma - Kamdini,12.157,254.286,266.443,Bituminous,Paved,Gulu,Northern,32.23982928,2.24252948,32.33105173,2.24664132,Source ID retained
A006_Link10,A006_Link10,A006,A,Kamdini - Minakulu,24.24,266.443,290.683,Bituminous,Paved,Gulu,Northern,32.33105173,2.24664132,32.37945624,2.44595938,Source ID retained
A006_Link11,A006_Link11,A006,A,Minakulu - Bobi - Gulu,37.495,290.683,328.178,Bituminous,Paved,Gulu,Northern,32.37945624,2.44595938,32.29745743,2.77164124,Source ID retained
A006_Link12,A006_Link12,A006,A,Gulu - Atiak,68.164,328.178,396.342,Bituminous,Paved,Gulu,Northern,32.29745743,2.77164124,32.12118367,3.2544971,Source ID retained
A006_Link13,A006_Link13,A006,A,Atiak - Nimule(Uganda/Sudan border),37.275,396.342,433.617,Bituminous,Paved,Gulu,Northern,32.12118367,3.2544971,32.07322101,3.57095368,Source ID retained
A006N1_Link01,A006N1_Link01,A006N1,A,Bwaise (Dual),0.721311886616,2.01469530748,1.29338342086,Bituminous,Paved,Kampala,Central,32.5627628,0.35455528,32.56386189,0.34836558,Source ID retained
A007_Link01,A007_Link01,A007,A,Malaba junction - Tororo,3.751,0.0,3.751,Bituminous,Paved,Tororo,Eastern,34.17301452,0.66000923,34.18081564,0.69299599,Source ID retained
A007_Link02,A007_Link02,A007,A,Tororo - Magodes - Nabumali,33.7,3.751,37.451,Bituminous,Paved,Tororo,Eastern,34.18081564,0.69299599,34.16706613,0.98350443,Source ID retained
A007_Link03,A007_Link03,A007,A,Nabumali  - Mbale,10.228,37.451,47.679,Bituminous,Paved,Mbale,Eastern,34.16706613,0.98350443,34.17539237,1.07005472,Source ID retained
A007_Link04,A007_Link04,A007,A,Mbale - Namunsi - Kumi,54.686,47.679,102.365,Bituminous,Paved,Mbale,Eastern,34.17539237,1.07005472,33.93875259,1.48668086,Source ID retained
A007_Link05,A007_Link05,A007,A,Kumi - Soroti,46.745,102.365,149.11,Bituminous,Paved,Soroti,North Eastern,33.93875259,1.48668086,33.62124567,1.71532775,Source ID retained
A007_Link06,A007_Link06,A007,A,Soroti - Dokolo,67.444,149.11,216.554,Bituminous,Paved,Soroti,North Eastern,33.62124567,1.71532775,33.17587849,1.91650279,Source ID retained
A007_Link07,A007_Link07,A007,A,Dokolo - Agwata,23.493,216.554,240.047,Bituminous,Paved,Lira,Northern,33.17587849,1.91650279,32.9830533,1.97498811,Source ID retained
A007_Link08,A007_Link08,A007,A,Agwata - Lira,31.149,240.047,271.196,Bituminous,Paved,Lira,Northern,32.9830533,1.97498811,32.89343863,2.23700128,Source ID retained
A007_Link09,A007_Link09,A007,A,Lira - Ayer,27.084,271.196,298.28,Bituminous,Paved,Lira,Northern,32.89343863,2.23700128,32.68705853,2.31619584,Source ID retained
A007_Link10,A007_Link10,A007,A,Ayer - Kamdini,43.956,298.28,342.236,Bituminous,Paved,Lira,Northern,32.68705013,2.31619568,32.33082693,2.24664318,Source ID retained
A007N1_Link01,A007N1_Link01,A007N1,A,Mbale(Dual Section),0.75,48.614,47.862,Bituminous,Paved,Mbale,Eastern,34.17861303,1.0769692,34.17501683,1.07095853,Source ID retained
A008_Link01,A008_Link01,A008,A,Karuma - Olwiyo,51.633,0.0,51.633,Bituminous,Paved,Gulu,Northern,32.24283829,2.25497346,31.88545107,2.53695431,Source ID retained
A008_Link02,A008_Link02,A008,A,Olwiyo - Packwach,54.406,51.633,106.039,Bituminous,Paved,Gulu,Northern,31.88545107,2.53695431,31.5078894,2.45859217,Source ID retained
A008_Link03,A008_Link03,A008,A,Packwach - Nebbi,53.49,106.039,159.509,Bituminous,Paved,Arua,Northern,31.5078894,2.45859217,31.08999887,2.47887436,Source ID retained
A008_Link04,A008_Link04,A008,A,Nebbi - Eruba,63.79,159.509,223.299,Bituminous,Paved,Arua,Northern,31.08999887,2.47887436,30.96349715,2.94603039,Source ID retained
A008_Link05,A008_Link05,A008,A,Eruba - Arua - Manibe,18.82,223.299,242.1,Bituminous,Paved,Arua,Northern,30.96349715,2.94603039,30.92830646,3.06039737,Source ID retained
A008_Link06,A008_Link06,A008,A,Manibe - Maracha - Koboko,49.903,242.1,292.003,Bituminous,Paved,Arua,Northern,30.92830646,3.06039737,30.96000274,3.41521113,Source ID retained
A008_Link07,A008_Link07,A008,A,Koboko - Oraba(Uganda/Sudan border),18.845,292.003,310.848,Bituminous,Paved,Arua,Northern,30.96000274,3.41521113,30.88348709,3.53965391,Source ID retained
A009_Link01,A009_Link01,A009,A,Kampala - Nansana,5.305,0.0,5.305,Bituminous,Paved,Kampala,Central,32.56052993,0.32463391,32.53226068,0.35882451,Source ID retained
A009_Link02,A009_Link02,A009,A,Nansana - Busunju,45.559,5.305,50.864,Bituminous,Paved,Kampala,Central,32.53226068,0.35882451,32.20856603,0.56499892,Source ID retained
A009_Link03,A009_Link03,A009,A,Busunju - Kiboga - Lwamata,50.0,50.864,100.864,Bituminous,Paved,Kampala,Central,32.20856603,0.56499892,31.89871963,0.82997911,Source ID retained
A009_Link04,A009_Link04,A009,A,Lwamata - Hoima,96.5,100.864,197.364,Bituminous,Paved,Hoima,Western,31.89871963,0.82997911,31.35009164,1.43676,Source ID retained
A009N1_Link01,A009N1_Link01,A009N1,A,Kasubi (Dual),1.3652166541,1.3652166541,0.0,Bituminous,Paved,Kampala,Central,32.55397224,0.33272672,32.56052993,0.32463391,Source ID retained
A009N2_Link01,A009N2_Link01,A009N2,A,Namungoona (Dual),0.519130274072,3.76418596213,3.24505568806,Bituminous,Paved,Kampala,Central,32.54059504,0.34781499,32.5431861,0.34424904,Source ID retained
A010_Link01,A010_Link01,A010,A,Nsambya-Kabalagala-Gaba,9.144,0.0,9.144,Bituminous,Paved,Kampala,Central,32.58313377,0.30690963,32.63677955,0.25615212,Source ID retained
A012_Link01,A012_Link01,A012,A,Nakalama - Namutumba - Mpologoma bridge,46.333,0.0,46.333,Bituminous,Paved,Jinja,Eastern,33.51802663,0.62846184,33.73783885,0.96721762,Source ID retained
A012_Link02,A012_Link02,A012,A,Mpologoma bridge - Tirinyi,4.748,46.333,51.081,Bituminous,Paved,Mbale,Eastern,33.73783885,0.96721762,33.76269341,1.0010514,Source ID retained
A012_Link03,A012_Link03,A012,A,Tirinyi - Budaka - Kamonkoli,38.859,51.081,89.94,Bituminous,Paved,Mbale,Eastern,33.76269341,1.0010514,34.09528484,1.07503808,Source ID retained
A012_Link04,A012_Link04,A012,A,Kamonkoli - Mbale,9.395,89.94,99.335,Bituminous,Paved,Mbale,Eastern,34.09528484,1.07503808,34.174884,1.07138816,Source ID retained
B100_Link01,B100_Link01,B100,B,Kubiri round about - Gayaza,13.346,0.0,13.346,Bituminous,Paved,Kampala,Central,32.57145823,0.34074591,32.61200043,0.44811615,Source ID retained
B100_Link02,B100_Link02,B100,B,Gayaza - Kalagi,20.154,13.346,33.5,Bituminous,Paved,Kampala,Central,32.61200043,0.44811615,32.74901789,0.5039739,Source ID retained
