district,county,subcounty,parish,village,total_links,total_km,paved_km,unpaved_km,good_km,fair_km,poor_km,avg_speed_kmh
KASESE,,NYAKIYUMBU,MUHINDI,KASOJO,220,5323.51,1984.06,3339.45,20.9,189.95,5112.67,15.1
KATAKWI,CENTRAL COUNTY,TOROMA,APUTON,CENTRAL VILLAGE,228,14176.05,0.0,14176.05,26.94,7567.37,6581.74,25.8
KIBOGA,CENTRAL COUNTY,KIBOGA TC,KIBOGA TOWN WARD,CENTRAL VILLAGE,194,2416.66,40.99,2375.67,258.13,856.86,1301.66,29.7
KOTIDO,,LOLELIA,LOTETELEIT,NADOME,50,208.05,38.97,169.09,0.0,184.44,23.62,26.5
LIRA,,DOKOLO,AWIRI,BAR-OPIO,198,4690.52,3422.08,1268.43,570.99,3581.66,537.86,38.6
MBALE,CENTRAL COUNTY,BUBIITA,NAMASHETI,CENTRAL VILLAGE,146,3468.2,0.0,3468.2,2.82,1366.12,2099.26,19.6
MPIGI,MAWOKOTA,KYEGONZA,SAALI,LWANGA,172,7219.34,792.86,6426.48,884.67,4519.78,1814.89,33.8
MUBENDE,BUWEKULA,BULERA,LUSANJA,KYANYINA,310,4878.39,18.7,4859.69,60.0,919.87,3898.52,21.4
MUKONO,MUKONO,MUKONO TC,NTAAWO WARD,BULE,392,12066.03,1978.76,10087.27,1.92,3591.52,8472.59,21.3
NEBBI,CENTRAL COUNTY,PAIDHA,PAKADHA,CENTRAL VILLAGE,176,752.84,30.36,722.48,9.56,454.26,289.01,21.0
PALLISA,CENTRAL COUNTY,BUSETA,KASASIRA,CENTRAL VILLAGE,180,703.82,0.0,703.82,297.36,400.11,6.35,34.4
WAKISO,,KATABI,NKUMBA,KIREKA D,376,18702.03,1664.05,17037.98,213.5,11921.7,6566.83,25.3
